,brands,influencers
8727,22408233,79886480
8730,29446955,73971162
8731,84777830,88797571
8735,33121375,63852817
8747,66115710,46009450
8792,72973314,18137828
8808,38427034,20444480
8810,24542817,31284830
8828,52800402,71753315
8830,83914932,49483338
8859,50640140,69474924
8861,33121375,33533187
8893,87366910,76092420
8898,72973314,21600575
8900,47697030,41018129
8906,85627400,14167103
8917,52800402,47391558
8924,91239394,96296681
8927,8513486,78693655
8928,24433842,80657708
8935,50640140,69474924
8946,83914932,52816190
8949,40834452,23427274
8952,37374702,24055042
8969,22408233,56697384
8991,22408233,48632361
8995,24433842,78035014
8996,55053820,27865418
9006,52559843,26345457
9016,97522225,65861096
9017,64712870,11963562
9041,8616199,857558
9056,44926421,17908705
9058,22408233,4282539
9059,38427034,29197720
9060,50640140,69474924
9076,83914932,65028607
9098,90733089,21140273
9107,94405591,13128443
9108,22408233,16453501
9114,40834452,58690741
9126,14700197,89520378
9136,44926421,56530556
9141,62998515,78826752
9144,42601852,27463370
9149,23848529,73931140
9160,22408233,91575986
9161,50176623,37417445
9173,22408233,15221750
9177,97522225,98656060
9178,22408233,6402958
9197,52800402,71753315
9202,98263717,86520100
9206,42601852,36620635
9208,34674639,65839229
9216,38427034,59676583
9222,28375463,42978342
9224,22408233,34626270
9244,44926421,512822
9248,58995451,67675737
9250,48567010,21159824
9256,60988315,49161271
9264,33121375,12686162
9268,22408233,96956254
9274,60988315,62979937
9282,914453,115998
9288,97522225,98656060
9295,32746775,51998643
9313,83914932,91910412
9316,4165706,70144488
9345,43769951,9559449
9352,90733089,43368452
9360,54563128,89410253
9364,84807797,63041991
9388,62998515,45111247
9392,90733089,43423786
9395,15380822,28476661
9396,54563128,33023257
9397,37374702,24055042
9401,95648291,55540422
9408,50013216,70497587
9414,22408233,61170163
9417,83914932,45695113
9440,22408233,63647587
9441,54563128,24471963
9454,16875222,77976575
9455,47566453,88847469
9457,22408233,44060138
9458,84777830,88797571
9462,97522225,98656060
9482,61871471,85830820
9483,66115710,1779551
9486,95648291,55540422
9512,62998515,67023954
9520,73922954,19910740
9521,42601852,28113179
9527,15380822,48145833
9534,22408233,74796878
9554,22408233,73424916
9568,32174996,94904838
9577,44682827,45770966
9582,84777830,88797571
9599,48240598,50936989
9604,84777830,88797571
9605,97522225,14832647
9609,44926421,62603926
9617,44926421,60690906
9638,50013216,70497587
9648,90733089,15047085
9659,62643916,14232990
9676,37280192,69214868
9678,66769500,22093531
9680,22408233,17218454
9685,22408233,21574445
9705,84777830,98100785
9711,15380822,48145833
9723,72973314,59998968
9727,12764426,73154659
